metabolite_BiGG_ID,carbon_source,consumption,production,preferred_c_source,max_average_uptake,Reaction_ID,Reaction_name,(Reaction_subsystem),Reaction_equation,Reaction_lb,Reaction_ub,Reaction_gene_ (ID_ and/or),Metabolites,stoichiometry,metabolite_name,Metabolite_ID,Metabolite_compartment,kegg_id,ec_number,universal_reaction_DB,iterations,criteria,weight,normed_weight,aerobic,balanced_equation,coefficient_c_source,coefficient_product,c_source_concentration_range,summed_weights,number_of_criteria,sum_normed_weights,path_to_fna_file_expression_host,Optknock,reference_model_ID,expression_host
,,,,,,TKT1,Transketolase,,r5p_c + xu5p__D_c --> g3p_c + s7p_c,-1000,1000,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,TKT2,Transketolase,,e4p_c + xu5p__D_c --> f6p_c + g3p_c,-1000,1000,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,AKGtr,2-ketogluarate transporter,,akg_e --> akg_c,-1000,1000,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,SK_xylt_c,Sink xylitol,xyl_degradationII,xylt_c -->,0,1000,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,XYLR,xylose reductase,xyl_degradationII,h_c + nadph_c + xyl__D_c --> nadp_c + xylt_c,0,1000,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,XYLTD_D,xylitol dehydrogenase,xyl_degradationII,nad_c + xylt_c <=> h_c + nadh_c + xylu__D_c,-1000,1000,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,R01143,1 H(+) + 1 dioxygen + 1 NADPH + 1 methane = 1 methanol + 1 H2O + 1 NADP(+),Methane oxydation,ch4_c + h_c + nadph_c + o2_c <=> h2o_c + meoh_c + nadp_c,-1000,1000,MetaCyc_GJFB_518_MONOMER_i or MetaCyc_GJFB_519_MONOMER_i or MetaCyc_GJFB_520_MONOMER_i,ch4_c h_c nadph_c o2_c h2o_c meoh_c nadp_c,-1 -1 -1 -1 1 1 1,,,,R01143,1.14.13.25,,,,,0,,,,,,,,,,,,
,,,,,,MMO1,Methane monooxygenase direct coupling,Methane oxydation,ch4_c + 2.0 focytcc_c + 2.0 h_c + o2_c --> 2.0 ficytcc_c + h2o_c + meoh_c,0,1000,( MEALZ_0514 and MEALZ_0515 and MEALZ_0516 ) or 6666666.378008.peg.3726 or 6666666.378008.peg.397 or 6666666.378008.peg.3725 or 6666666.378008.peg.398 or 6666666.378008.peg.2902 or 6666666.378008.peg.1440 or 6666666.378008.peg.4494 or 6666666.378008.peg.3724 or 6666666.378008.peg.4742 or 6666666.293523.peg.607 or 6666666.293523.peg.3429 or 6666666.293523.peg.4166 or 6666666.293523.peg.608 or 6666666.293523.peg.3430 or 6666666.293523.peg.4167 or 6666666.293523.peg.605 or 6666666.293523.peg.1310 or 6666666.293523.peg.1172 or 6666666.293523.peg.4165 or 6666666.293523.peg.3428 or 6666666.293523.peg.284,ch4_c h_c o2_c focytc_c h2o_c meoh_c ficytc_c,-1 -2 -1 -2 1 1 2,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,MMO2,Methane monooxygenase quinol 8,Methane oxydation,ch4_c + o2_c + q8h2_c  --> h2o_c + meoh_c + q8_c,-1000,1000,( MEALZ_0514 and MEALZ_0515 and MEALZ_0516 ) or 6666666.378008.peg.3726 or 6666666.378008.peg.397 or 6666666.378008.peg.3725 or 6666666.378008.peg.398 or 6666666.378008.peg.2902 or 6666666.378008.peg.1440 or 6666666.378008.peg.4494 or 6666666.378008.peg.3724 or 6666666.378008.peg.4742 or 6666666.293523.peg.607 or 6666666.293523.peg.3429 or 6666666.293523.peg.4166 or 6666666.293523.peg.608 or 6666666.293523.peg.3430 or 6666666.293523.peg.4167 or 6666666.293523.peg.605 or 6666666.293523.peg.1310 or 6666666.293523.peg.1172 or 6666666.293523.peg.4165 or 6666666.293523.peg.3428 or 6666666.293523.peg.284,ch4_c h_e q8h2_c h2o_c meoh_c q8_c,-1 -1 -1 1 1 1 ,,,,R09518,1.14.18.3,,,,,,,,,,,,,,,,,
,,,,,,ALCD1,meoh,, meoh_c + nad_c <=> fald_c + h_c + nadh_c,-1000,1000,,meoh_c fald_c,-1 1,,,,R00605,1.1.1.244,,,,,,,,,,,,,,,,,
